Timestamp,X,X Dev,Y,Y Dev
1/30/2025 0:00,0.0383,-0.0052,0.0788,-0.0172
1/30/2025 0:00,0.0387,-0.0048,0.0785,-0.0175
1/30/2025 0:00,0.0384,-0.0051,0.0783,-0.0177
1/30/2025 0:00,0.0385,-0.005,0.0783,-0.0177
1/30/2025 0:00,0.0385,-0.005,0.0783,-0.0177
1/30/2025 0:00,0.0383,-0.0052,0.0803,-0.0157
1/30/2025 0:00,0.0383,-0.0052,0.0792,-0.0168
1/30/2025 0:00,0.0383,-0.0052,0.0794,-0.0166
1/30/2025 0:00,0.0382,-0.0053,0.0785,-0.0175
1/30/2025 0:00,0.0385,-0.005,0.0796,-0.0164
1/30/2025 0:00,0.038,-0.0055,0.0793,-0.0167
1/30/2025 0:01,0.0381,-0.0054,0.0789,-0.0171
1/30/2025 0:01,0.0382,-0.0053,0.0782,-0.0178
1/30/2025 0:01,0.0383,-0.0052,0.0785,-0.0175
1/30/2025 0:01,0.0385,-0.005,0.0784,-0.0176
1/30/2025 0:01,0.0383,-0.0052,0.0786,-0.0174
1/30/2025 0:01,0.0383,-0.0052,0.079,-0.017
1/30/2025 0:01,0.0383,-0.0052,0.0789,-0.0171
1/30/2025 0:01,0.0381,-0.0054,0.0791,-0.0169
1/30/2025 0:01,0.0382,-0.0053,0.0788,-0.0172
1/30/2025 0:01,0.0386,-0.0049,0.0781,-0.0179
1/30/2025 0:01,0.0385,-0.005,0.0786,-0.0174
1/30/2025 0:01,0.0383,-0.0052,0.0787,-0.0173
1/30/2025 0:02,0.0385,-0.005,0.0786,-0.0174
1/30/2025 0:02,0.0382,-0.0053,0.0785,-0.0175
1/30/2025 0:02,0.0382,-0.0053,0.078,-0.018
1/30/2025 0:02,0.0382,-0.0053,0.0784,-0.0176
1/30/2025 0:02,0.0382,-0.0053,0.0778,-0.0182
1/30/2025 0:02,0.0385,-0.005,0.0783,-0.0177
1/30/2025 0:02,0.0385,-0.005,0.0782,-0.0178
